Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Females,Mid North Coast LHD,22/23,447.9,405.6,493.2
Females,Southern NSW LHD,14/15,428.6,386.8,473.6
Females,Southern NSW LHD,15/16,465.2,421.4,512.2
Females,Southern NSW LHD,16/17,476.8,432.9,523.9
Females,Southern NSW LHD,17/18,445.1,403.3,489.9
Females,Southern NSW LHD,18/19,560.6,512.8,611.5
Females,Southern NSW LHD,19/20,492.2,448.2,539.2
Females,Southern NSW LHD,20/21,375,336.5,416.4
Females,Southern NSW LHD,21/22,390.5,350.9,433.1
Females,Southern NSW LHD,22/23,440.6,398.4,485.9
Females,Murrumbidgee LHD,14/15,652.8,606.3,701.7
Females,Murrumbidgee LHD,15/16,668.1,621.1,717.6
Females,Murrumbidgee LHD,16/17,749.9,699.5,802.8
Females,Murrumbidgee LHD,17/18,653.7,607,702.8
Females,Murrumbidgee LHD,18/19,670.5,623.4,720.2
Females,Murrumbidgee LHD,19/20,640.3,594.1,689
Females,Murrumbidgee LHD,20/21,607.9,562.5,655.8
Females,Murrumbidgee LHD,21/22,582.8,538.7,629.5
Females,Murrumbidgee LHD,22/23,761.7,710.6,815.4
Females,Western NSW LHD,14/15,459.5,423.5,497.7
Females,Western NSW LHD,15/16,564.2,524.2,606.5
Females,Western NSW LHD,16/17,728.9,683.4,776.5
Females,Western NSW LHD,17/18,579,538.5,621.7
Females,Western NSW LHD,18/19,609,567.4,652.8
Females,Western NSW LHD,19/20,586.8,545.9,630
Females,Western NSW LHD,20/21,578.6,537.8,621.6
Females,Western NSW LHD,21/22,619.8,577.3,664.6
Females,Western NSW LHD,22/23,620.9,578.7,665.3
Females,Far West LHD,14/15,771.9,629,936.2
Females,Far West LHD,15/16,805.8,659.9,973.3
Females,Far West LHD,16/17,897.8,743.3,"1,073.80"
Females,Far West LHD,17/18,788.2,645.4,952.2
Females,Far West LHD,18/19,884.7,731.7,"1,059.20"
Females,Far West LHD,19/20,692.3,557.8,848.4
Females,Far West LHD,20/21,592.1,465.6,740.8
Females,Far West LHD,21/22,689.7,552.1,849.9
Females,Far West LHD,22/23,963.7,792.6,"1,159.00"
Females,All LHDs,14/15,374.7,368.4,381
Females,All LHDs,15/16,376.2,369.9,382.5
Females,All LHDs,16/17,388.7,382.4,395.1
Females,All LHDs,17/18,347,341.1,353
Females,All LHDs,18/19,362.4,356.4,368.6
Females,All LHDs,19/20,333,327.3,338.9
Females,All LHDs,20/21,273.8,268.6,279.2
Females,All LHDs,21/22,272.3,267.1,277.6
Females,All LHDs,22/23,311.8,306.3,317.5
Persons,Sydney LHD,14/15,274.6,260.7,289.1
Persons,Sydney LHD,15/16,270.8,257,285.1
Persons,Sydney LHD,16/17,261.4,247.9,275.4
Persons,Sydney LHD,17/18,220.4,208.2,233.2
Persons,Sydney LHD,18/19,239.9,227.1,253.2
Persons,Sydney LHD,19/20,201.8,190.1,214.1
Persons,Sydney LHD,20/21,188.2,176.7,200.2
Persons,Sydney LHD,21/22,160.3,149.8,171.4
Persons,Sydney LHD,22/23,200.4,188.6,212.6
Persons,South Western Sydney LHD,14/15,355,343.2,367.2
Persons,South Western Sydney LHD,15/16,352.9,341.2,364.9
Persons,South Western Sydney LHD,16/17,328.9,317.7,340.3
Persons,South Western Sydney LHD,17/18,288.5,278.1,299.1
Persons,South Western Sydney LHD,18/19,311.1,300.4,322
Persons,South Western Sydney LHD,19/20,255.8,246.2,265.6
Persons,South Western Sydney LHD,20/21,217.3,208.6,226.3
Persons,South Western Sydney LHD,21/22,213.1,204.4,222.1
Persons,South Western Sydney LHD,22/23,250.6,241.1,260.3
Persons,South Eastern Sydney LHD,14/15,295.9,283.9,308.2
Persons,South Eastern Sydney LHD,15/16,265.5,254.1,277.2
Persons,South Eastern Sydney LHD,16/17,261,249.9,272.5
Persons,South Eastern Sydney LHD,17/18,226.8,216.5,237.5
Persons,South Eastern Sydney LHD,18/19,240.5,229.9,251.5
Persons,South Eastern Sydney LHD,19/20,219,208.8,229.5
Persons,South Eastern Sydney LHD,20/21,176.9,167.6,186.6
Persons,South Eastern Sydney LHD,21/22,170.5,161.5,179.9
Persons,South Eastern Sydney LHD,22/23,204.9,194.9,215.2
Persons,Illawarra Shoalhaven LHD,14/15,398.2,378,419.2
Persons,Illawarra Shoalhaven LHD,15/16,426.6,405.8,448.1
Persons,Illawarra Shoalhaven LHD,16/17,420.6,400,441.9
Persons,Illawarra Shoalhaven LHD,17/18,395.8,375.8,416.4
Persons,Illawarra Shoalhaven LHD,18/19,367.4,348.2,387.2
Persons,Illawarra Shoalhaven LHD,19/20,311,293.4,329.3
Persons,Illawarra Shoalhaven LHD,20/21,272.2,255.7,289.4
Persons,Illawarra Shoalhaven LHD,21/22,257,241.1,273.6
Persons,Illawarra Shoalhaven LHD,22/23,270.5,254.3,287.3
Persons,Western Sydney LHD,14/15,316.1,304.7,327.8
Persons,Western Sydney LHD,15/16,310.9,299.8,322.4
Persons,Western Sydney LHD,16/17,304.2,293.3,315.5
Persons,Western Sydney LHD,17/18,268.5,258.3,278.9
Persons,Western Sydney LHD,18/19,269.2,259.2,279.5
Persons,Western Sydney LHD,19/20,224.7,215.7,234.1
Persons,Western Sydney LHD,20/21,187.3,179.1,195.7
Persons,Western Sydney LHD,21/22,186.1,177.9,194.5
Persons,Western Sydney LHD,22/23,215.7,206.9,224.8
Persons,Nepean Blue Mountains LHD,14/15,415.2,394.4,436.8
Persons,Nepean Blue Mountains LHD,15/16,374.6,355,395
Persons,Nepean Blue Mountains LHD,16/17,404.2,383.9,425.3
Persons,Nepean Blue Mountains LHD,17/18,361.2,342.2,381.1
Persons,Nepean Blue Mountains LHD,18/19,371.4,352.1,391.4
Persons,Nepean Blue Mountains LHD,19/20,321.6,303.6,340.3
Persons,Nepean Blue Mountains LHD,20/21,252.2,236.3,268.8
Persons,Nepean Blue Mountains LHD,21/22,254.9,238.9,271.7
Persons,Nepean Blue Mountains LHD,22/23,277.7,261,295.2
Persons,Northern Sydney LHD,14/15,254.2,243.6,265.2
Persons,Northern Sydney LHD,15/16,239.7,229.4,250.3
Persons,Northern Sydney LHD,16/17,231,221,241.4
Persons,Northern Sydney LHD,17/18,207.9,198.4,217.7
Persons,Northern Sydney LHD,18/19,210.8,201.2,220.6
Persons,Northern Sydney LHD,19/20,177.6,168.9,186.7
Persons,Northern Sydney LHD,20/21,138.5,130.7,146.6
Persons,Northern Sydney LHD,21/22,126,118.6,133.8
Persons,Northern Sydney LHD,22/23,155.9,147.7,164.4
Persons,Central Coast LHD,14/15,366.6,345.4,388.6
Persons,Central Coast LHD,15/16,380.9,359.3,403.3
Persons,Central Coast LHD,16/17,378.4,357.1,400.6
Persons,Central Coast LHD,17/18,368.2,347.3,390.1
Persons,Central Coast LHD,18/19,378.8,357.6,401
Persons,Central Coast LHD,19/20,359.1,338.4,380.7
Persons,Central Coast LHD,20/21,299.6,280.6,319.4
Persons,Central Coast LHD,21/22,270.5,252.5,289.4
Persons,Central Coast LHD,22/23,330.1,310.4,350.7
Persons,Hunter New England LHD,14/15,452.6,438.3,467.2
Persons,Hunter New England LHD,15/16,469.9,455.4,484.7
Persons,Hunter New England LHD,16/17,503,488,518.2
Persons,Hunter New England LHD,17/18,436.5,422.7,450.7
Persons,Hunter New England LHD,18/19,446.4,432.4,460.7
Persons,Hunter New England LHD,19/20,441.2,427.3,455.4
Persons,Hunter New England LHD,20/21,384.6,371.6,398
Persons,Hunter New England LHD,21/22,384.2,371.2,397.6
Persons,Hunter New England LHD,22/23,415.6,402.1,429.4
Persons,Northern NSW LHD,14/15,620,589.3,651.8
Persons,Northern NSW LHD,15/16,663.7,631.9,696.6
Persons,Northern NSW LHD,16/17,586,556.4,616.8
Persons,Northern NSW LHD,17/18,625.6,595.2,657.2
Persons,Northern NSW LHD,18/19,542.7,514.4,572
Persons,Northern NSW LHD,19/20,512.2,484.6,540.8
Persons,Northern NSW LHD,20/21,431.1,405.7,457.5
Persons,Northern NSW LHD,21/22,456.3,430,483.6
Persons,Northern NSW LHD,22/23,504.8,477.2,533.6
Persons,Mid North Coast LHD,14/15,490.2,458.1,523.8
Persons,Mid North Coast LHD,15/16,505,472.4,539
Persons,Mid North Coast LHD,16/17,489.6,458.1,522.7
Persons,Mid North Coast LHD,17/18,449.1,419,480.7
Persons,Mid North Coast LHD,18/19,454.9,424.7,486.6
Persons,Mid North Coast LHD,19/20,454.3,424.2,485.9
Persons,Mid North Coast LHD,20/21,344.1,317.9,371.8
Persons,Mid North Coast LHD,21/22,361.8,334.8,390.2
Persons,Mid North Coast LHD,22/23,390.8,362.7,420.4
Persons,Southern NSW LHD,14/15,417.8,388.5,448.8
Persons,Southern NSW LHD,15/16,441.9,411.8,473.7
Persons,Southern NSW LHD,16/17,467.2,436.3,499.6
Persons,Southern NSW LHD,17/18,436.5,407,467.5
Persons,Southern NSW LHD,18/19,494,462.5,527.1
Persons,Southern NSW LHD,19/20,431,401.8,461.7
Persons,Southern NSW LHD,20/21,354.1,327.6,382.1
Persons,Southern NSW LHD,21/22,350.6,324,378.7
Persons,Southern NSW LHD,22/23,431.2,401.7,462.3
Persons,Murrumbidgee LHD,14/15,637.3,605,670.7
Persons,Murrumbidgee LHD,15/16,660.2,627.2,694.4
Persons,Murrumbidgee LHD,16/17,740.7,705.6,777.1
Persons,Murrumbidgee LHD,17/18,606.9,575.4,639.7
Persons,Murrumbidgee LHD,18/19,586,555,618.2
Persons,Murrumbidgee LHD,19/20,559.5,529.1,591
Persons,Murrumbidgee LHD,20/21,533.3,503.4,564.5
Persons,Murrumbidgee LHD,21/22,523.5,494,554.4
Persons,Murrumbidgee LHD,22/23,707.9,673.1,743.9
Persons,Western NSW LHD,14/15,419.2,395,444.4
Persons,Western NSW LHD,15/16,565.8,537.6,595
Persons,Western NSW LHD,16/17,690.1,658.9,722.3
Persons,Western NSW LHD,17/18,539.9,512.4,568.5
Persons,Western NSW LHD,18/19,553.1,525.3,581.9
Persons,Western NSW LHD,19/20,516.3,489.3,544.5
Persons,Western NSW LHD,20/21,551.8,523.8,580.9
Persons,Western NSW LHD,21/22,561.8,533.3,591.3
Persons,Western NSW LHD,22/23,600.8,571.6,631.1
Persons,Far West LHD,14/15,690.5,594.8,796.7
Persons,Far West LHD,15/16,824.8,719.7,940.5
Persons,Far West LHD,16/17,881,772.3,"1,000.30"
Persons,Far West LHD,17/18,684.1,589.2,789.4
Persons,Far West LHD,18/19,840.8,734.7,957.5
Persons,Far West LHD,19/20,582.6,494.8,681
Persons,Far West LHD,20/21,473.6,393.6,564.4
Persons,Far West LHD,21/22,522.7,437.6,619
Persons,Far West LHD,22/23,800,690,921.8
Persons,All LHDs,14/15,378.6,374.1,383.1
Persons,All LHDs,15/16,382.8,378.4,387.4
Persons,All LHDs,16/17,387,382.5,391.5
Persons,All LHDs,17/18,343.6,339.4,347.8
Persons,All LHDs,18/19,349.5,345.3,353.7
Persons,All LHDs,19/20,311.8,307.9,315.8
Persons,All LHDs,20/21,266.5,262.8,270.2
Persons,All LHDs,21/22,260.2,256.6,263.8
Persons,All LHDs,22/23,305.1,301.2,309.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
