financial year,lhd,CO ppm,NO pphm,NO2 pphm,OZONE pphm,PM10 µg/m³,SO2 pphm,"COPD deaths [f] [rate per 100,000]","COPD deaths [m] [rate per 100,000]"
2011/2012,Central Coast,0.065988695,0.306571511,0.564177291,1.586417999,13.53260401,0.064974854,24.9,33.1
2012/2013,Central Coast,0.084025033,0.268964137,0.502566255,1.719030609,16.43848962,0.077980301,27.9,37.2
2013/2014,Central Coast,0.1,0.241666667,0.516666667,1.75,15.93333333,0.091666667,24.9,40.9
2014/2015,Central Coast,0.1,0.233333333,0.466666667,1.791190021,15.15833333,0.05,25.3,43.1
2015/2016,Central Coast,0.108333333,0.216666667,0.458333333,1.691666667,15.375,0.058333333,28.2,40
2016/2017,Central Coast,0.1,0.216666667,0.491666667,1.775,15.35833333,0.058333333,33.1,39.6
2017/2018,Central Coast,0.108333333,0.175,0.441666667,1.861183124,16.81666667,0.075,33.9,40.6
2018/2019,Central Coast,0.108333333,0.216666667,0.416666667,1.733333333,17.75,0.091666667,31.6,41.1
2019/2020,Central Coast,0.143129378,0.208333333,0.358333333,1.916666667,18.57275166,0.066666667,29.6,34.8
2020/2021,Central Coast,0.133333333,0.233333333,0.35,1.716666667,14.075,0.058333333,27.9,29.3
2011/2012,Hunter New England,0.077929462,0.657925706,0.725769367,1.928749312,19.56304174,0.18776225,19.1,34.3
2012/2013,Hunter New England,0.082683023,0.561151198,0.672476505,2.119010561,22.48176986,0.165235805,21.9,34.8
2013/2014,Hunter New England,0.09256235,0.578422175,0.696342374,2.174557172,22.60521193,0.170262602,25.2,33.8
2014/2015,Hunter New England,0.119945823,0.477439897,0.637575991,2.158975234,21.95067982,0.159759564,25.4,33.9
2015/2016,Hunter New England,0.171055539,0.473678666,0.664202411,2.058007817,22.25952381,0.158328514,25.3,35
2016/2017,Hunter New England,0.095563027,0.498459922,0.658514942,2.126545983,21.76071429,0.188231816,25.4,38.9
2017/2018,Hunter New England,0.134637678,0.543571883,0.668258663,2.205529702,24.03347201,0.189219651,23.5,37.2
2018/2019,Hunter New England,0.136481937,0.556026483,0.650187306,2.191191166,25.72189241,0.185593224,24.6,32.6
2019/2020,Hunter New England,0.119742477,0.520115806,0.628147132,2.363537644,26.13616767,0.176950812,24.1,30.4
2020/2021,Hunter New England,0.090205738,0.523746698,0.535401144,1.964825406,19.75595238,0.145523767,22.4,28.6
2011/2012,Illawarra Shoalhaven,0.3,0.440909091,0.686363636,1.813636364,17.1,0.1,20.3,34
2012/2013,Illawarra Shoalhaven,0.208333333,0.384639567,0.670510573,1.766666667,18.4125,0.1,20.5,33.5
2013/2014,Illawarra Shoalhaven,0.208333333,0.385763137,0.661030103,1.9375,18.04583333,0.1,23.6,36.2
2014/2015,Illawarra Shoalhaven,0.208333333,0.355227067,0.590973556,1.9125,17.2875,0.1,25.1,34.7
2015/2016,Illawarra Shoalhaven,0.208333333,0.3625,0.629166667,1.868308702,18.75833333,0.1,24.9,34.7
2016/2017,Illawarra Shoalhaven,0.2,0.341666667,0.545833333,1.95,18.725,0.1,27.3,34.2
2017/2018,Illawarra Shoalhaven,0.175,0.370833333,0.5375,2.022397958,20.4625,0.1,25,30.4
2018/2019,Illawarra Shoalhaven,0.191666667,0.353806033,0.570634935,1.941666667,21.31693799,0.1,24.2,28.4
2019/2020,Illawarra Shoalhaven,0.208333333,0.304166667,0.533333333,2.0125,22.03333333,0.1,24.5,30.5
2020/2021,Illawarra Shoalhaven,0.2,0.3375,0.45,1.829166667,17.84583333,0.1,23.2,31.2
2011/2012,Mid North Coast,0.104596084,0.027226492,0.226308538,1.680972417,NA,0.026418037,18.8,38.8
2012/2013,Mid North Coast,0.13022383,0.012109062,0.193239672,1.796691393,NA,0,20,40
2013/2014,Mid North Coast,0.156208304,0.056414617,0.260004465,1.796701931,NA,0.031410145,25.9,38.4
2014/2015,Mid North Coast,0.16032243,0.085874899,0.26024422,1.885240128,NA,0.02468267,24.5,33.7
2015/2016,Mid North Coast,0.183427717,0.164317611,0.31942314,1.922582785,NA,0.098480653,21,35.3
2016/2017,Mid North Coast,0.167764746,0.098944437,0.279601446,2.033003849,NA,0.038525026,22.5,38.9
2017/2018,Mid North Coast,0.187219373,0.125496012,0.246269537,1.760193893,NA,0.039191053,24.4,36.5
2018/2019,Mid North Coast,0.189461795,0.210351095,0.295979934,1.847432235,NA,0.07301393,29,36.2
2019/2020,Mid North Coast,0.175655189,0.133531907,0.327615387,2.081921468,NA,0.037168988,25.9,32.4
2020/2021,Mid North Coast,0.123380198,0.145022954,0.315671099,1.816952725,NA,0,22.9,27.5
2011/2012,Murrumbidgee,NA,0.289187465,0.280703633,1.761114718,22.11909139,0.045454545,19.9,35
2012/2013,Murrumbidgee,NA,0.154949799,0.354812896,1.963496819,21.14797918,0.058333333,19.7,33.8
2013/2014,Murrumbidgee,NA,0.138776145,0.366569553,2.050154654,21.63404586,0.1,21.5,35.8
2014/2015,Murrumbidgee,NA,0.175515645,0.286453196,1.955223618,20.71732413,0.05,26.9,39.2
2015/2016,Murrumbidgee,NA,0.142709877,0.301990873,1.899084235,25.82917279,0.083333333,31.4,36.2
2016/2017,Murrumbidgee,NA,0.170911468,0.337211778,1.933791342,24.0773466,0.05,28.2,31.9
2017/2018,Murrumbidgee,NA,0.165138513,0.329148359,1.948036622,30.79897102,0.075,23,35.8
2018/2019,Murrumbidgee,NA,0.195484941,0.326116258,1.887140038,29.250467,0.083333333,27.9,38.2
2019/2020,Murrumbidgee,NA,0.234756244,0.365028189,2.093052094,27.416068,0.041666667,29,34.7
2020/2021,Murrumbidgee,NA,0.201274704,0.328970058,1.801720241,29.48837935,0.016666667,24.8,34.3
2011/2012,Nepean Blue Mountains,0.092482912,0.219764291,0.491245566,1.7592003,13.15454545,0.061589842,26.3,28.6
2012/2013,Nepean Blue Mountains,0.160961471,0.17647787,0.477470595,1.919795416,16.16666667,0.054501969,26.9,30.7
2013/2014,Nepean Blue Mountains,0.124655741,0.201323366,0.475670411,2.066816188,16.71072247,0.036600782,26.4,33
2014/2015,Nepean Blue Mountains,0.085368258,0.210391607,0.440610985,1.994593227,15.15299638,0.028445744,28.4,35.2
2015/2016,Nepean Blue Mountains,0.072887352,0.214004294,0.434917569,1.979575934,16.13333333,0.0167664,27.7,39.4
2016/2017,Nepean Blue Mountains,0.099769325,0.231661502,0.425546419,1.951418075,16.00865157,0.054771528,27.1,40.6
2017/2018,Nepean Blue Mountains,0.159851536,0.232779134,0.447038636,2.139188284,18.52649222,0.067563239,26.4,33.3
2018/2019,Nepean Blue Mountains,0.138188094,0.238529509,0.433921703,2.081548903,19.05254689,0.044570622,24.3,27.1
2019/2020,Nepean Blue Mountains,0.185243718,0.202956796,0.383082049,2.289536208,19.24612815,0.027525184,21.9,25
2020/2021,Nepean Blue Mountains,0.108396499,0.198137532,0.318661602,1.863522474,14.90014722,0.028907288,20.1,22.4
2011/2012,Northern Sydney,0.12867435,0.534618496,0.866978791,1.446819845,12.98181818,0.043266395,11.6,17.6
2012/2013,Northern Sydney,0.103973478,0.414620062,0.810959285,1.599221332,14.33333333,0.064654654,10.8,17.1
2013/2014,Northern Sydney,0.140321569,0.361197438,0.812645153,1.65902604,14.08333333,0.056920276,11.5,14.8
2014/2015,Northern Sydney,0.127040388,0.347910016,0.77742311,1.709914487,13.95833333,0.028433736,12.3,14.3
2015/2016,Northern Sydney,0.123319149,0.343913877,0.736340378,1.702144344,15.6,0.046163675,12.6,14
2016/2017,Northern Sydney,0.113257386,0.395882447,0.754349542,1.741064943,15.58333333,0.055426177,12.1,14
2017/2018,Northern Sydney,0.117443697,0.34656841,0.705003906,1.900933447,16.85833333,0.064202318,11,12.2
2018/2019,Northern Sydney,0.124790182,0.394380004,0.79659049,1.841935098,17.80446779,0.078779205,10.1,11
2019/2020,Northern Sydney,0.151504642,0.361725946,0.790532653,1.903985446,18.07867788,0.051149054,8.8,11
2020/2021,Northern Sydney,0.161586312,0.399854312,0.668218928,1.693535649,14.69485869,0.027358977,7.9,11.5
2011/2012,South Eastern Sydney,0.238468226,3.274786522,1.467497202,1.20477592,16.19090909,0.111480234,11.9,18.8
2012/2013,South Eastern Sydney,0.258779158,3.159776454,1.364080226,1.280845229,18.80833333,0.119005286,13.1,21.5
2013/2014,South Eastern Sydney,0.256428231,3.126258905,1.418650844,1.311072074,19.05,0.118308481,13.9,22.1
2014/2015,South Eastern Sydney,0.247622571,2.983694988,1.422863153,1.338054393,18.9,0.112179723,13.6,20.3
2015/2016,South Eastern Sydney,0.260360834,3.07973087,1.467131481,1.310538463,18.19166667,0.117527504,14.1,18.1
2016/2017,South Eastern Sydney,0.256534123,2.897791342,1.434676103,1.384755324,18.375,0.110121997,15.8,19.4
2017/2018,South Eastern Sydney,0.277671896,2.758155755,1.448040512,1.428517307,20.16666667,0.123136846,15.2,18.5
2018/2019,South Eastern Sydney,0.326036216,2.947545236,1.569616595,1.364107579,21.125,0.119253921,13.9,14.6
2019/2020,South Eastern Sydney,0.296139127,2.541666667,1.483333333,1.495134696,21.39583333,0.107856632,14.1,16.1
2020/2021,South Eastern Sydney,0.255892252,2.45021977,1.331017426,1.390857735,17.45833333,0.099811588,12,16.2
2011/2012,South Western Sydney,0.255924556,0.809104215,0.752699855,1.612339077,16.23157562,0.040897457,19.6,29
2012/2013,South Western Sydney,0.216743074,0.678319308,0.712197042,1.741713381,17.6375,0.046146665,19.6,30.2
2013/2014,South Western Sydney,0.252210839,0.70389208,0.744542764,1.804748123,18.12783422,0.049838393,19,31.9
2014/2015,South Western Sydney,0.237809992,0.606250846,0.680951438,1.820782008,16.35625,0.038214131,19,29.3
2015/2016,South Western Sydney,0.233669195,0.620532641,0.74046015,1.789628853,17.24791667,0.042375323,21.3,29.5
2016/2017,South Western Sydney,0.230591084,0.618461267,0.721765722,1.851354296,17.17291667,0.048242652,22.1,33.6
2017/2018,South Western Sydney,0.226842468,0.647356845,0.805890052,1.944652194,20.64375,0.051921837,20.5,28.7
2018/2019,South Western Sydney,0.201065123,0.697345454,0.799466175,1.907374744,20.08541667,0.058073856,19.1,23.4
2019/2020,South Western Sydney,0.198667389,0.63494729,0.771437678,1.959785721,20.50016934,0.048484401,17.1,24.2
2020/2021,South Western Sydney,0.142391041,0.655122298,0.556299195,1.871245361,16.50625,0.034264366,15.4,23.3
2011/2012,Southern NSW,NA,0.245013036,0.324124679,1.842647181,NA,NA,21.8,37
2012/2013,Southern NSW,NA,0.231799183,0.377854835,1.915809165,NA,NA,22.4,33.2
2013/2014,Southern NSW,NA,0.237781031,0.41364931,2.069440037,NA,NA,29.2,29.3
2014/2015,Southern NSW,NA,0.218916514,0.359933121,2.158355669,NA,NA,32.9,33.4
2015/2016,Southern NSW,NA,0.213386894,0.354436638,2.126943222,NA,NA,28.6,33.4
2016/2017,Southern NSW,NA,0.224067641,0.388840146,2.14895143,NA,NA,27.4,36
2017/2018,Southern NSW,NA,0.19696095,0.363686232,2.311623591,NA,NA,30.8,38.9
2018/2019,Southern NSW,NA,0.198944597,0.366698085,2.154204503,NA,NA,29.4,38.6
2019/2020,Southern NSW,NA,0.180430493,0.39254353,2.302080264,NA,NA,24,35.4
2020/2021,Southern NSW,NA,0.2,0.341666667,2.041666667,NA,NA,22.1,32.6
2011/2012,Sydney,0.213825125,1.102842725,1.136314226,1.495436681,17.02727273,0.026731717,14,26.5
2012/2013,Sydney,0.188157934,0.950614157,1.082943041,1.642413357,18.87916667,0.029182975,13.1,27.8
2013/2014,Sydney,0.14704189,0.895790607,1.072265539,1.572750108,19.09583333,0.029092826,10.5,31.1
2014/2015,Sydney,0.142158613,0.846561212,0.989978862,1.553116116,17.72916667,0.035321177,11.1,29.5
2015/2016,Sydney,0.174603346,0.910737111,1.003777957,1.453711092,17.1125,0.045833333,12.1,23.3
2016/2017,Sydney,0.133283228,0.903636757,1.056809497,1.466804863,17.3625,0.020833333,11.1,24.5
2017/2018,Sydney,0.093622542,0.883139774,1.060398989,1.513732106,19.00819355,0.038506627,10.9,26
2018/2019,Sydney,0.124103498,0.897503367,1.009526909,1.53298632,19.42916667,0.045833333,11.3,23.4
2019/2020,Sydney,0.143766213,0.751834396,0.907348681,1.523932512,20.30332086,0.0375,10,20.2
2020/2021,Sydney,0.135597649,0.743314531,0.873356732,1.598568613,16.49583333,0.016666667,9.8,21.6
2011/2012,Western NSW,0.01714525,0.086916508,0.223945246,1.906996431,NA,NA,25.2,47
2012/2013,Western NSW,0.0068413,0.153559074,0.215050857,2.034429212,NA,NA,27.1,46.1
2013/2014,Western NSW,0.005681961,0.14583668,0.218394742,2.192931166,NA,NA,27.3,46.8
2014/2015,Western NSW,0.003785785,0.149165477,0.173631391,2.242703419,NA,NA,31.1,48.7
2015/2016,Western NSW,0.004792967,0.096166248,0.222789625,2.219448572,NA,NA,40.1,52.5
2016/2017,Western NSW,0.003296048,0.060464239,0.201545077,2.187092979,NA,NA,46.4,57.4
2017/2018,Western NSW,0.001401934,0.055301935,0.251631342,2.346973278,NA,NA,38.8,53.5
2018/2019,Western NSW,0,0.152226737,0.27436504,2.263526654,NA,NA,32,44.4
2019/2020,Western NSW,0.005857993,0.18992621,0.301065971,2.411665509,NA,NA,32,39.5
2020/2021,Western NSW,0.010342008,0.081591614,0.240002058,2.122618692,NA,NA,31,37.6
2011/2012,Western Sydney,0.210334248,0.919920757,1.026295795,1.446314828,NA,0.082914878,16.8,26.2
2012/2013,Western Sydney,0.196172607,0.713136242,0.96229859,1.647888512,NA,0.09931257,16,27.1
2013/2014,Western Sydney,0.1708191,0.852594055,0.983428297,1.727905159,NA,0.07933081,16.3,30.6
2014/2015,Western Sydney,0.178954309,0.815664229,0.926827836,1.726750657,NA,0.066216701,16.3,31.9
2015/2016,Western Sydney,0.145083707,0.652673837,0.932406716,1.683882689,NA,0.071587307,18.2,30.3
2016/2017,Western Sydney,0.156860358,0.67397964,0.888568531,1.716075035,NA,0.07294247,19,29.3
2017/2018,Western Sydney,0.153418001,0.835728334,0.886008443,1.84692167,NA,0.073144011,16.5,23.9
2018/2019,Western Sydney,0.160695855,0.801943833,0.900827465,1.814704102,NA,0.078481097,16,23.2
2019/2020,Western Sydney,0.21386108,0.810472659,0.773434486,1.98350445,NA,0.095470859,13.5,24.5
2020/2021,Western Sydney,0.1875,0.68125,0.75625,1.720833333,NA,0.071053086,13.8,20.7
