year-month,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2014-07,Central Coast,29.8,21.8,26.1
2014-08,Central Coast,34.3,32.0,33.4
2014-09,Central Coast,28.4,19.9,24.1
2014-10,Central Coast,28.0,19.5,24.0
2014-11,Central Coast,28.0,21.7,25.0
2014-12,Central Coast,18.0,33.4,26.2
2015-01,Central Coast,19.0,21.7,20.6
2015-02,Central Coast,37.6,33.6,35.9
2015-03,Central Coast,41.5,34.6,38.3
2015-04,Central Coast,39.0,29.7,34.5
2015-05,Central Coast,42.7,43.8,43.6
2015-06,Central Coast,26.8,41.6,34.4
2015-07,Central Coast,37.5,27.4,32.6
2015-08,Central Coast,39.6,37.1,38.6
2015-09,Central Coast,42.5,25.9,34.3
2015-10,Central Coast,21.3,29.4,25.7
2015-11,Central Coast,27.0,28.6,28.0
2015-12,Central Coast,39.5,32.5,36.2
2016-01,Central Coast,25.7,14.9,20.4
2016-02,Central Coast,30.6,26.1,28.6
2016-03,Central Coast,29.0,20.7,25.1
2016-04,Central Coast,33.4,32.2,33.0
2016-05,Central Coast,39.2,40.5,40.3
2016-06,Central Coast,39.9,34.6,37.4
2016-07,Central Coast,25.2,29.2,27.3
2016-08,Central Coast,48.6,27.3,38.1
2016-09,Central Coast,35.5,33.7,34.9
2016-10,Central Coast,34.3,23.6,29.2
2016-11,Central Coast,19.3,21.0,20.4
2016-12,Central Coast,27.9,19.9,23.9
2017-01,Central Coast,19.4,14.8,17.2
2017-02,Central Coast,28.3,34.5,31.7
2017-03,Central Coast,30.6,32.6,31.7
2017-04,Central Coast,45.9,33.0,40.0
2017-05,Central Coast,62.1,38.8,50.6
2017-06,Central Coast,34.3,31.2,33.0
2017-07,Central Coast,29.7,28.9,29.5
2017-08,Central Coast,39.9,29.5,35.1
2017-09,Central Coast,35.1,19.4,27.4
2017-10,Central Coast,24.7,24.0,24.5
2017-11,Central Coast,33.5,36.2,35.0
2017-12,Central Coast,34.6,25.5,30.3
2018-01,Central Coast,21.6,16.6,19.3
2018-02,Central Coast,28.5,32.7,30.8
2018-03,Central Coast,34.0,21.9,28.3
2018-04,Central Coast,25.6,34.7,30.4
2018-05,Central Coast,41.0,38.1,39.9
2018-06,Central Coast,38.1,36.6,37.5
2018-07,Central Coast,39.5,28.6,34.4
2018-08,Central Coast,31.9,24.6,28.5
2018-09,Central Coast,27.5,25.0,26.4
2018-10,Central Coast,30.3,16.0,23.2
2018-11,Central Coast,30.3,22.7,26.7
2018-12,Central Coast,26.7,28.1,27.7
2019-01,Central Coast,23.7,24.4,24.2
2019-02,Central Coast,35.7,44.9,40.6
2019-03,Central Coast,31.0,31.1,31.3
2019-04,Central Coast,34.1,27.2,30.7
2019-05,Central Coast,39.8,37.7,39.1
2019-06,Central Coast,53.2,38.7,46.0
2019-07,Central Coast,36.6,30.3,33.8
2019-08,Central Coast,39.6,17.2,28.7
2019-09,Central Coast,31.1,20.0,25.9
2019-10,Central Coast,24.1,22.8,23.4
2019-11,Central Coast,45.1,25.6,35.5
2019-12,Central Coast,43.5,36.9,40.6
2020-01,Central Coast,21.0,18.8,20.2
2020-02,Central Coast,29.2,35.7,32.7
2020-03,Central Coast,45.7,49.0,47.6
2020-04,Central Coast,24.8,8.4,16.6
2020-05,Central Coast,18.9,15.5,17.3
2020-06,Central Coast,34.4,39.9,37.2
2020-07,Central Coast,23.7,22.7,23.2
2020-08,Central Coast,32.3,23.4,28.0
2020-09,Central Coast,20.4,20.8,20.8
2020-10,Central Coast,18.4,19.9,19.3
2020-11,Central Coast,27.4,29.0,28.4
2020-12,Central Coast,24.8,12.3,18.7
2021-01,Central Coast,22.8,12.9,18.0
2021-02,Central Coast,17.8,24.7,21.5
2021-03,Central Coast,26.0,31.0,28.8
2021-04,Central Coast,28.2,28.2,28.3
2021-05,Central Coast,26.6,31.3,29.3
2021-06,Central Coast,40.2,30.3,35.4
2021-07,Central Coast,23.1,23.6,23.3
2021-08,Central Coast,15.4,7.0,11.3
2021-09,Central Coast,11.1,7.5,9.3
2021-10,Central Coast,14.1,11.3,12.8
2021-11,Central Coast,20.4,14.3,17.4
2021-12,Central Coast,13.2,10.4,12.0
2022-01,Central Coast,18.5,6.7,12.5
2022-02,Central Coast,13.2,15.4,14.4
2022-03,Central Coast,28.3,26.6,27.5
2022-04,Central Coast,37.8,40.2,39.2
2022-05,Central Coast,46.4,57.4,52.3
2022-06,Central Coast,45.8,30.1,38.1
2022-07,Central Coast,35.7,22.5,29.2
2022-08,Central Coast,39.4,37.9,38.8
2022-09,Central Coast,31.8,35.5,33.8
2022-10,Central Coast,27.3,26.0,26.9
2022-11,Central Coast,24.0,18.3,21.2
2022-12,Central Coast,22.6,18.5,20.8
2023-01,Central Coast,18.3,13.8,16.1
2023-02,Central Coast,22.8,31.1,27.2
2023-03,Central Coast,25.3,29.5,27.5
2023-04,Central Coast,26.1,20.7,23.5
2023-05,Central Coast,42.0,31.3,36.6
2023-06,Central Coast,33.3,23.2,28.3
2023-07,Central Coast,34.22307692307692,23.9,29.123076923076923
2023-08,Central Coast,35.146153846153844,24.599999999999998,29.946153846153848
2023-09,Central Coast,36.069230769230764,25.299999999999997,30.76923076923077
2023-10,Central Coast,36.99230769230769,26.0,31.592307692307692
2023-11,Central Coast,37.91538461538461,26.7,32.41538461538462
2023-12,Central Coast,38.83846153846154,27.4,33.238461538461536
2024-01,Central Coast,39.76153846153846,28.099999999999998,34.06153846153846
2024-02,Central Coast,40.684615384615384,28.799999999999997,34.88461538461539
2024-03,Central Coast,41.607692307692304,29.5,35.707692307692305
2024-04,Central Coast,42.53076923076923,30.199999999999996,36.53076923076923
2024-05,Central Coast,43.45384615384615,30.9,37.353846153846156
2024-06,Central Coast,44.37692307692308,31.599999999999998,38.176923076923075
2014-07,Hunter New England,45.3,32.3,39.0
2014-08,Hunter New England,49.4,42.6,46.2
2014-09,Hunter New England,36.0,26.7,31.5
2014-10,Hunter New England,34.4,31.2,32.9
2014-11,Hunter New England,24.7,25.9,25.5
2014-12,Hunter New England,24.8,29.4,27.2
2015-01,Hunter New England,26.5,20.9,23.8
2015-02,Hunter New England,34.4,37.5,36.1
2015-03,Hunter New England,34.4,40.6,37.7
2015-04,Hunter New England,35.5,41.3,38.6
2015-05,Hunter New England,53.2,62.9,58.4
2015-06,Hunter New England,56.3,53.5,55.0
2015-07,Hunter New England,48.3,45.3,47.1
2015-08,Hunter New England,54.2,45.9,50.3
2015-09,Hunter New England,36.4,31.0,33.9
2015-10,Hunter New England,33.8,33.9,34.0
2015-11,Hunter New England,33.7,37.5,35.8
2015-12,Hunter New England,41.0,38.0,39.6
2016-01,Hunter New England,31.1,21.2,26.2
2016-02,Hunter New England,35.0,43.8,39.6
2016-03,Hunter New England,34.3,36.2,35.4
2016-04,Hunter New England,36.6,33.5,35.2
2016-05,Hunter New England,41.6,48.1,45.0
2016-06,Hunter New England,48.9,44.1,46.8
2016-07,Hunter New England,42.8,37.5,40.4
2016-08,Hunter New England,51.7,34.9,43.4
2016-09,Hunter New England,37.0,38.2,37.7
2016-10,Hunter New England,42.1,48.5,45.5
2016-11,Hunter New England,42.9,42.4,42.7
2016-12,Hunter New England,33.5,28.7,31.2
2017-01,Hunter New England,26.4,17.7,22.2
2017-02,Hunter New England,32.4,40.6,36.8
2017-03,Hunter New England,34.3,43.3,39.1
2017-04,Hunter New England,52.5,52.1,52.5
2017-05,Hunter New England,61.6,62.2,62.2
2017-06,Hunter New England,47.5,49.4,48.7
2017-07,Hunter New England,49.6,42.6,46.4
2017-08,Hunter New England,40.1,28.8,34.7
2017-09,Hunter New England,36.4,33.7,35.3
2017-10,Hunter New England,29.6,32.3,31.1
2017-11,Hunter New England,26.1,32.2,29.4
2017-12,Hunter New England,32.5,31.9,32.4
2018-01,Hunter New England,26.3,20.4,23.4
2018-02,Hunter New England,34.1,43.0,38.9
2018-03,Hunter New England,36.6,41.7,39.4
2018-04,Hunter New England,31.3,33.7,32.7
2018-05,Hunter New England,46.0,51.7,49.0
2018-06,Hunter New England,41.7,44.9,43.6
2018-07,Hunter New England,40.1,41.0,40.7
2018-08,Hunter New England,35.7,37.2,36.7
2018-09,Hunter New England,38.1,30.3,34.2
2018-10,Hunter New England,34.2,31.2,32.8
2018-11,Hunter New England,41.8,30.1,36.0
2018-12,Hunter New England,34.0,30.9,32.7
2019-01,Hunter New England,18.8,19.7,19.4
2019-02,Hunter New England,34.7,42.5,38.9
2019-03,Hunter New England,40.9,34.4,37.7
2019-04,Hunter New England,41.3,40.0,40.9
2019-05,Hunter New England,53.0,40.7,46.9
2019-06,Hunter New England,53.1,45.0,49.3
2019-07,Hunter New England,42.1,44.6,43.7
2019-08,Hunter New England,43.8,45.4,44.8
2019-09,Hunter New England,47.2,29.6,38.5
2019-10,Hunter New England,40.6,31.3,36.2
2019-11,Hunter New England,51.3,40.6,46.1
2019-12,Hunter New England,45.1,36.7,41.3
2020-01,Hunter New England,30.0,22.6,26.4
2020-02,Hunter New England,31.4,34.1,33.0
2020-03,Hunter New England,50.2,37.0,43.7
2020-04,Hunter New England,23.3,13.2,18.3
2020-05,Hunter New England,18.6,20.5,19.7
2020-06,Hunter New England,46.3,52.4,49.6
2020-07,Hunter New England,33.7,24.9,29.4
2020-08,Hunter New England,31.6,27.4,29.6
2020-09,Hunter New England,20.0,24.2,22.2
2020-10,Hunter New England,28.4,25.3,27.0
2020-11,Hunter New England,29.5,32.4,31.1
2020-12,Hunter New England,26.5,31.5,29.2
2021-01,Hunter New England,21.0,14.4,17.7
2021-02,Hunter New England,29.1,23.8,26.5
2021-03,Hunter New England,42.9,37.3,40.2
2021-04,Hunter New England,44.7,34.7,39.7
2021-05,Hunter New England,53.1,53.9,53.7
2021-06,Hunter New England,39.7,36.2,38.2
2021-07,Hunter New England,35.7,28.7,32.3
2021-08,Hunter New England,26.6,23.6,25.2
2021-09,Hunter New England,18.5,11.7,15.2
2021-10,Hunter New England,27.7,20.1,24.0
2021-11,Hunter New England,24.7,27.3,26.2
2021-12,Hunter New England,23.5,23.2,23.4
2022-01,Hunter New England,19.6,9.3,14.5
2022-02,Hunter New England,18.5,15.9,17.2
2022-03,Hunter New England,41.5,45.1,43.6
2022-04,Hunter New England,42.3,43.1,42.8
2022-05,Hunter New England,58.3,67.2,63.1
2022-06,Hunter New England,61.2,53.6,57.6
2022-07,Hunter New England,35.5,28.4,32.1
2022-08,Hunter New England,48.4,45.9,47.4
2022-09,Hunter New England,40.7,44.6,42.9
2022-10,Hunter New England,44.5,47.3,46.0
2022-11,Hunter New England,30.2,33.2,31.9
2022-12,Hunter New England,21.6,17.4,19.6
2023-01,Hunter New England,23.2,18.7,21.0
2023-02,Hunter New England,28.7,38.4,33.8
2023-03,Hunter New England,28.5,29.7,29.1
2023-04,Hunter New England,30.2,29.5,30.0
2023-05,Hunter New England,39.9,44.3,42.4
2023-06,Hunter New England,38.7,39.1,39.1
2023-07,Hunter New England,38.96153846153847,38.14615384615385,38.746153846153845
2023-08,Hunter New England,39.223076923076924,37.19230769230769,38.392307692307696
2023-09,Hunter New England,39.48461538461539,36.238461538461536,38.03846153846154
2023-10,Hunter New England,39.746153846153845,35.284615384615385,37.684615384615384
2023-11,Hunter New England,40.00769230769231,34.330769230769235,37.330769230769235
2023-12,Hunter New England,40.269230769230774,33.37692307692308,36.97692307692308
2024-01,Hunter New England,40.53076923076923,32.42307692307692,36.62307692307692
2024-02,Hunter New England,40.792307692307695,31.46923076923077,36.26923076923077
2024-03,Hunter New England,41.05384615384616,30.515384615384615,35.91538461538462
2024-04,Hunter New England,41.315384615384616,29.56153846153846,35.56153846153846
2024-05,Hunter New England,41.57692307692308,28.607692307692307,35.207692307692305
2024-06,Hunter New England,41.83846153846154,27.653846153846153,34.853846153846156
2014-07,Illawarra Shoalhaven,42.1,26.7,34.5
2014-08,Illawarra Shoalhaven,39.6,37.5,38.6
2014-09,Illawarra Shoalhaven,30.8,26.3,28.5
2014-10,Illawarra Shoalhaven,21.1,22.9,22.1
2014-11,Illawarra Shoalhaven,29.0,26.9,28.1
2014-12,Illawarra Shoalhaven,21.9,24.2,23.1
2015-01,Illawarra Shoalhaven,25.0,25.4,25.3
2015-02,Illawarra Shoalhaven,33.1,45.4,39.6
2015-03,Illawarra Shoalhaven,42.0,40.0,41.1
2015-04,Illawarra Shoalhaven,32.8,27.3,30.2
2015-05,Illawarra Shoalhaven,49.5,39.4,44.6
2015-06,Illawarra Shoalhaven,42.1,40.7,41.6
2015-07,Illawarra Shoalhaven,42.5,33.0,37.8
2015-08,Illawarra Shoalhaven,51.5,34.1,42.9
2015-09,Illawarra Shoalhaven,35.5,29.9,32.8
2015-10,Illawarra Shoalhaven,20.2,28.9,24.7
2015-11,Illawarra Shoalhaven,32.8,29.2,31.1
2015-12,Illawarra Shoalhaven,24.3,30.1,27.2
2016-01,Illawarra Shoalhaven,26.8,20.2,23.6
2016-02,Illawarra Shoalhaven,42.6,44.6,43.8
2016-03,Illawarra Shoalhaven,43.8,31.8,37.9
2016-04,Illawarra Shoalhaven,42.7,30.7,36.7
2016-05,Illawarra Shoalhaven,46.1,41.7,44.0
2016-06,Illawarra Shoalhaven,48.3,37.0,42.6
2016-07,Illawarra Shoalhaven,40.5,32.2,36.5
2016-08,Illawarra Shoalhaven,42.0,29.5,35.8
2016-09,Illawarra Shoalhaven,36.8,34.9,36.0
2016-10,Illawarra Shoalhaven,37.9,23.2,30.7
2016-11,Illawarra Shoalhaven,31.2,27.0,29.2
2016-12,Illawarra Shoalhaven,33.2,23.3,28.3
2017-01,Illawarra Shoalhaven,25.9,20.8,23.4
2017-02,Illawarra Shoalhaven,43.5,28.2,35.9
2017-03,Illawarra Shoalhaven,45.1,33.0,39.2
2017-04,Illawarra Shoalhaven,39.6,43.3,41.6
2017-05,Illawarra Shoalhaven,39.7,53.3,46.8
2017-06,Illawarra Shoalhaven,40.7,32.8,36.7
2017-07,Illawarra Shoalhaven,41.1,42.0,41.8
2017-08,Illawarra Shoalhaven,40.4,26.5,33.5
2017-09,Illawarra Shoalhaven,35.2,23.5,29.3
2017-10,Illawarra Shoalhaven,24.4,32.9,28.9
2017-11,Illawarra Shoalhaven,34.0,27.2,30.8
2017-12,Illawarra Shoalhaven,27.0,23.3,25.3
2018-01,Illawarra Shoalhaven,21.9,20.6,21.3
2018-02,Illawarra Shoalhaven,40.8,51.2,46.4
2018-03,Illawarra Shoalhaven,31.5,39.2,35.5
2018-04,Illawarra Shoalhaven,33.3,30.6,32.0
2018-05,Illawarra Shoalhaven,29.5,44.6,37.3
2018-06,Illawarra Shoalhaven,30.6,36.2,33.7
2018-07,Illawarra Shoalhaven,31.6,26.6,29.3
2018-08,Illawarra Shoalhaven,28.5,20.0,24.3
2018-09,Illawarra Shoalhaven,29.2,27.8,28.6
2018-10,Illawarra Shoalhaven,29.8,16.4,23.2
2018-11,Illawarra Shoalhaven,20.8,23.7,22.5
2018-12,Illawarra Shoalhaven,36.4,29.4,33.1
2019-01,Illawarra Shoalhaven,31.0,21.7,26.5
2019-02,Illawarra Shoalhaven,33.8,43.3,38.9
2019-03,Illawarra Shoalhaven,26.6,29.1,28.1
2019-04,Illawarra Shoalhaven,38.6,30.9,34.7
2019-05,Illawarra Shoalhaven,38.9,38.4,38.8
2019-06,Illawarra Shoalhaven,47.0,31.0,39.2
2019-07,Illawarra Shoalhaven,33.4,28.0,30.8
2019-08,Illawarra Shoalhaven,29.5,21.8,25.8
2019-09,Illawarra Shoalhaven,22.9,24.1,23.5
2019-10,Illawarra Shoalhaven,29.0,19.8,24.5
2019-11,Illawarra Shoalhaven,29.6,19.4,24.5
2019-12,Illawarra Shoalhaven,31.2,23.9,27.7
2020-01,Illawarra Shoalhaven,35.4,27.2,31.6
2020-02,Illawarra Shoalhaven,27.4,34.5,31.2
2020-03,Illawarra Shoalhaven,43.8,39.0,41.5
2020-04,Illawarra Shoalhaven,18.0,9.4,13.7
2020-05,Illawarra Shoalhaven,13.4,7.2,10.3
2020-06,Illawarra Shoalhaven,25.8,25.7,25.9
2020-07,Illawarra Shoalhaven,19.7,17.0,18.5
2020-08,Illawarra Shoalhaven,26.4,18.2,22.5
2020-09,Illawarra Shoalhaven,22.1,17.5,19.8
2020-10,Illawarra Shoalhaven,23.2,17.7,20.5
2020-11,Illawarra Shoalhaven,19.2,25.4,22.6
2020-12,Illawarra Shoalhaven,19.9,21.0,20.6
2021-01,Illawarra Shoalhaven,12.4,7.1,9.8
2021-02,Illawarra Shoalhaven,22.2,19.4,20.8
2021-03,Illawarra Shoalhaven,24.9,29.6,27.4
2021-04,Illawarra Shoalhaven,27.7,24.5,26.3
2021-05,Illawarra Shoalhaven,35.5,28.1,31.9
2021-06,Illawarra Shoalhaven,41.1,21.6,31.3
2021-07,Illawarra Shoalhaven,20.1,14.6,17.4
2021-08,Illawarra Shoalhaven,16.0,8.8,12.4
2021-09,Illawarra Shoalhaven,10.9,7.6,9.3
2021-10,Illawarra Shoalhaven,11.6,12.5,12.1
2021-11,Illawarra Shoalhaven,21.8,16.3,19.2
2021-12,Illawarra Shoalhaven,17.5,12.6,15.0
2022-01,Illawarra Shoalhaven,13.1,9.7,11.5
2022-02,Illawarra Shoalhaven,14.3,17.4,16.0
2022-03,Illawarra Shoalhaven,25.2,33.8,29.7
2022-04,Illawarra Shoalhaven,32.7,26.3,29.7
2022-05,Illawarra Shoalhaven,40.8,48.2,44.7
2022-06,Illawarra Shoalhaven,38.3,37.5,38.0
2022-07,Illawarra Shoalhaven,21.6,17.2,19.5
2022-08,Illawarra Shoalhaven,24.0,25.3,24.9
2022-09,Illawarra Shoalhaven,33.0,27.3,30.3
2022-10,Illawarra Shoalhaven,26.4,21.5,24.0
2022-11,Illawarra Shoalhaven,20.4,12.9,16.7
2022-12,Illawarra Shoalhaven,15.8,18.3,17.1
2023-01,Illawarra Shoalhaven,15.1,15.1,15.2
2023-02,Illawarra Shoalhaven,22.3,22.9,22.7
2023-03,Illawarra Shoalhaven,22.6,31.2,27.1
2023-04,Illawarra Shoalhaven,22.7,19.5,21.2
2023-05,Illawarra Shoalhaven,26.3,34.8,30.7
2023-06,Illawarra Shoalhaven,18.2,23.0,20.8
2023-07,Illawarra Shoalhaven,21.29230769230769,23.96153846153846,22.838461538461537
2023-08,Illawarra Shoalhaven,24.384615384615383,24.923076923076923,24.876923076923077
2023-09,Illawarra Shoalhaven,27.47692307692308,25.884615384615383,26.915384615384617
2023-10,Illawarra Shoalhaven,30.56923076923077,26.846153846153847,28.953846153846154
2023-11,Illawarra Shoalhaven,33.66153846153846,27.807692307692307,30.99230769230769
2023-12,Illawarra Shoalhaven,36.753846153846155,28.76923076923077,33.03076923076923
2024-01,Illawarra Shoalhaven,39.84615384615385,29.73076923076923,35.06923076923077
2024-02,Illawarra Shoalhaven,42.93846153846154,30.692307692307693,37.107692307692304
2024-03,Illawarra Shoalhaven,46.03076923076923,31.653846153846153,39.14615384615385
2024-04,Illawarra Shoalhaven,49.12307692307692,32.61538461538461,41.184615384615384
2024-05,Illawarra Shoalhaven,52.21538461538462,33.57692307692308,43.22307692307692
2024-06,Illawarra Shoalhaven,55.30769230769231,34.53846153846154,45.261538461538464
2014-07,Mid North Coast,58.4,35.5,47.3
2014-08,Mid North Coast,40.9,31.6,36.5
2014-09,Mid North Coast,33.1,30.7,32.1
2014-10,Mid North Coast,34.5,49.2,42.3
2014-11,Mid North Coast,38.8,33.1,36.2
2014-12,Mid North Coast,30.0,39.0,34.8
2015-01,Mid North Coast,27.5,23.9,25.9
2015-02,Mid North Coast,40.2,51.3,45.8
2015-03,Mid North Coast,42.0,47.3,45.0
2015-04,Mid North Coast,40.7,27.6,34.2
2015-05,Mid North Coast,52.7,44.1,48.5
2015-06,Mid North Coast,56.0,65.8,61.1
2015-07,Mid North Coast,56.0,45.2,51.0
2015-08,Mid North Coast,53.9,55.4,55.2
2015-09,Mid North Coast,49.7,51.8,51.2
2015-10,Mid North Coast,37.5,45.0,41.5
2015-11,Mid North Coast,41.4,39.1,40.3
2015-12,Mid North Coast,36.8,55.2,46.3
2016-01,Mid North Coast,16.0,38.9,27.5
2016-02,Mid North Coast,30.6,29.4,30.0
2016-03,Mid North Coast,31.0,33.3,32.3
2016-04,Mid North Coast,38.1,27.2,32.6
2016-05,Mid North Coast,53.1,54.8,54.2
2016-06,Mid North Coast,42.6,42.2,42.4
2016-07,Mid North Coast,33.1,31.2,32.4
2016-08,Mid North Coast,43.9,46.5,45.6
2016-09,Mid North Coast,48.4,41.7,45.3
2016-10,Mid North Coast,38.3,46.2,42.6
2016-11,Mid North Coast,41.7,25.5,33.8
2016-12,Mid North Coast,20.8,25.0,23.0
2017-01,Mid North Coast,17.0,20.0,18.7
2017-02,Mid North Coast,28.7,41.5,35.3
2017-03,Mid North Coast,34.5,40.5,37.5
2017-04,Mid North Coast,42.1,47.7,45.2
2017-05,Mid North Coast,58.3,72.7,65.7
2017-06,Mid North Coast,54.5,71.5,63.4
2017-07,Mid North Coast,51.7,35.2,43.3
2017-08,Mid North Coast,49.7,46.5,48.5
2017-09,Mid North Coast,36.0,27.9,32.1
2017-10,Mid North Coast,38.2,29.0,33.7
2017-11,Mid North Coast,43.0,25.2,34.1
