lhd,2-year-period,per cent
Sydney,2002-2004,11.7
Sydney,2003-2005,10.7
Sydney,2004-2006,13.2
Sydney,2005-2007,12.5
Sydney,2006-2008,14.6
Sydney,2007-2009,14.2
Sydney,2008-2010,12.8
Sydney,2009-2011,10.2
Sydney,2010-2012,7.6
Sydney,2011-2013,9.9
Sydney,2012-2014,8.7
Sydney,2013-2015,9.2
Sydney,2014-2016,9.7
Sydney,2015-2017,10.5
Sydney,2016-2018,11.3
Sydney,2017-2019,9.3
South Western Sydney,2002-2004,17.4
South Western Sydney,2003-2005,14.1
South Western Sydney,2004-2006,13.5
South Western Sydney,2005-2007,12.1
South Western Sydney,2006-2008,14.1
South Western Sydney,2007-2009,14.5
South Western Sydney,2008-2010,16.0
South Western Sydney,2009-2011,15.1
South Western Sydney,2010-2012,16.3
South Western Sydney,2011-2013,16.5
South Western Sydney,2012-2014,16.9
South Western Sydney,2013-2015,13.1
South Western Sydney,2014-2016,10.3
South Western Sydney,2015-2017,11.1
South Western Sydney,2016-2018,13.9
South Western Sydney,2017-2019,12.8
South Eastern Sydney,2002-2004,13.1
South Eastern Sydney,2003-2005,12.9
South Eastern Sydney,2004-2006,12.9
South Eastern Sydney,2005-2007,10.8
South Eastern Sydney,2006-2008,9.5
South Eastern Sydney,2007-2009,8.5
South Eastern Sydney,2008-2010,9.9
South Eastern Sydney,2009-2011,10.9
South Eastern Sydney,2010-2012,15.3
South Eastern Sydney,2011-2013,12.0
South Eastern Sydney,2012-2014,12.1
South Eastern Sydney,2013-2015,7.8
South Eastern Sydney,2014-2016,10.5
South Eastern Sydney,2015-2017,8.4
South Eastern Sydney,2016-2018,10.0
South Eastern Sydney,2017-2019,10.7
Illawarra Shoalhaven,2002-2004,15.0
Illawarra Shoalhaven,2003-2005,13.8
Illawarra Shoalhaven,2004-2006,13.4
Illawarra Shoalhaven,2005-2007,16.2
Illawarra Shoalhaven,2006-2008,16.4
Illawarra Shoalhaven,2007-2009,16.2
Illawarra Shoalhaven,2008-2010,13.3
Illawarra Shoalhaven,2009-2011,15.0
Illawarra Shoalhaven,2010-2012,14.8
Illawarra Shoalhaven,2011-2013,15.7
Illawarra Shoalhaven,2012-2014,12.9
Illawarra Shoalhaven,2013-2015,12.2
Illawarra Shoalhaven,2014-2016,11.5
Illawarra Shoalhaven,2015-2017,11.8
Illawarra Shoalhaven,2016-2018,10.3
Illawarra Shoalhaven,2017-2019,11.9
Western Sydney,2002-2004,15.9
Western Sydney,2003-2005,15.2
Western Sydney,2004-2006,13.4
Western Sydney,2005-2007,12.8
Western Sydney,2006-2008,11.5
Western Sydney,2007-2009,9.7
Western Sydney,2008-2010,8.7
Western Sydney,2009-2011,10.4
Western Sydney,2010-2012,13.3
Western Sydney,2011-2013,16.2
Western Sydney,2012-2014,15.5
Western Sydney,2013-2015,13.0
Western Sydney,2014-2016,8.6
Western Sydney,2015-2017,5.6
Western Sydney,2016-2018,8.8
Western Sydney,2017-2019,10.4
Nepean Blue Mountains,2002-2004,16.5
Nepean Blue Mountains,2003-2005,15.4
Nepean Blue Mountains,2004-2006,13.6
Nepean Blue Mountains,2005-2007,13.4
Nepean Blue Mountains,2006-2008,14.1
Nepean Blue Mountains,2007-2009,15.9
Nepean Blue Mountains,2008-2010,16.4
Nepean Blue Mountains,2009-2011,18.5
Nepean Blue Mountains,2010-2012,18.9
Nepean Blue Mountains,2011-2013,16.6
Nepean Blue Mountains,2012-2014,16.3
Nepean Blue Mountains,2013-2015,14.5
Nepean Blue Mountains,2014-2016,14.8
Nepean Blue Mountains,2015-2017,16.3
Nepean Blue Mountains,2016-2018,17.0
Nepean Blue Mountains,2017-2019,18.2
Northern Sydney,2002-2004,10.7
Northern Sydney,2003-2005,11.1
Northern Sydney,2004-2006,10.7
Northern Sydney,2005-2007,11.2
Northern Sydney,2006-2008,12.0
Northern Sydney,2007-2009,12.2
Northern Sydney,2008-2010,12.1
Northern Sydney,2009-2011,13.2
Northern Sydney,2010-2012,14.4
Northern Sydney,2011-2013,16.2
Northern Sydney,2012-2014,17.4
Northern Sydney,2013-2015,17.5
Northern Sydney,2014-2016,15.1
Northern Sydney,2015-2017,15.5
Northern Sydney,2016-2018,14.9
Northern Sydney,2017-2019,14.6
Central Coast,2002-2004,16.8
Central Coast,2003-2005,16.6
Central Coast,2004-2006,19.7
Central Coast,2005-2007,17.5
Central Coast,2006-2008,17.8
Central Coast,2007-2009,13.4
Central Coast,2008-2010,15.9
Central Coast,2009-2011,18.5
Central Coast,2010-2012,17.4
Central Coast,2011-2013,16.6
Central Coast,2012-2014,14.7
Central Coast,2013-2015,16.0
Central Coast,2014-2016,15.4
Central Coast,2015-2017,13.4
Central Coast,2016-2018,11.7
Central Coast,2017-2019,10.6
Hunter New England,2002-2004,16.7
Hunter New England,2003-2005,16.8
Hunter New England,2004-2006,16.1
Hunter New England,2005-2007,14.8
Hunter New England,2006-2008,15.9
Hunter New England,2007-2009,15.2
Hunter New England,2008-2010,16.6
Hunter New England,2009-2011,16.2
Hunter New England,2010-2012,17.9
Hunter New England,2011-2013,15.5
Hunter New England,2012-2014,15.4
Hunter New England,2013-2015,15.4
Hunter New England,2014-2016,17.2
Hunter New England,2015-2017,17.5
Hunter New England,2016-2018,16.7
Hunter New England,2017-2019,16.4
Northern NSW,2002-2004,11.0
Northern NSW,2003-2005,11.2
Northern NSW,2004-2006,10.3
Northern NSW,2005-2007,13.2
Northern NSW,2006-2008,12.7
Northern NSW,2007-2009,13.0
Northern NSW,2008-2010,12.6
Northern NSW,2009-2011,13.0
Northern NSW,2010-2012,12.5
Northern NSW,2011-2013,10.8
Northern NSW,2012-2014,11.1
Northern NSW,2013-2015,11.9
Northern NSW,2014-2016,13.4
Northern NSW,2015-2017,11.6
Northern NSW,2016-2018,12.7
Northern NSW,2017-2019,13.3
Mid North Coast,2002-2004,14.6
Mid North Coast,2003-2005,14.7
Mid North Coast,2004-2006,12.9
Mid North Coast,2005-2007,11.8
Mid North Coast,2006-2008,10.8
Mid North Coast,2007-2009,13.3
Mid North Coast,2008-2010,10.9
Mid North Coast,2009-2011,9.8
Mid North Coast,2010-2012,6.8
Mid North Coast,2011-2013,11.7
Mid North Coast,2012-2014,15.8
Mid North Coast,2013-2015,20.1
Mid North Coast,2014-2016,18.1
Mid North Coast,2015-2017,15.3
Mid North Coast,2016-2018,10.8
Mid North Coast,2017-2019,12.9
Southern NSW,2002-2004,12.9
Southern NSW,2003-2005,12.3
Southern NSW,2004-2006,14.4
Southern NSW,2005-2007,19.2
Southern NSW,2006-2008,19.6
Southern NSW,2007-2009,15.6
Southern NSW,2008-2010,12.4
Southern NSW,2009-2011,13.4
Southern NSW,2010-2012,14.9
Southern NSW,2011-2013,14.6
Southern NSW,2012-2014,12.1
Southern NSW,2013-2015,13.5
Southern NSW,2014-2016,12.0
Southern NSW,2015-2017,13.8
Southern NSW,2016-2018,12.8
Southern NSW,2017-2019,13.2
Murrumbidgee,2002-2004,15.1
Murrumbidgee,2003-2005,15.2
Murrumbidgee,2004-2006,15.0
Murrumbidgee,2005-2007,17.4
Murrumbidgee,2006-2008,16.7
Murrumbidgee,2007-2009,16.2
Murrumbidgee,2008-2010,16.4
Murrumbidgee,2009-2011,17.5
Murrumbidgee,2010-2012,16.6
Murrumbidgee,2011-2013,16.2
Murrumbidgee,2012-2014,15.8
Murrumbidgee,2013-2015,20.2
Murrumbidgee,2014-2016,22.4
Murrumbidgee,2015-2017,25.2
Murrumbidgee,2016-2018,22.9
Murrumbidgee,2017-2019,20.5
Western NSW,2002-2004,19.6
Western NSW,2003-2005,19.9
Western NSW,2004-2006,18.1
Western NSW,2005-2007,16.5
Western NSW,2006-2008,14.4
Western NSW,2007-2009,15.8
Western NSW,2008-2010,18.5
Western NSW,2009-2011,21.7
Western NSW,2010-2012,19.1
Western NSW,2011-2013,20.6
Western NSW,2012-2014,16.0
Western NSW,2013-2015,18.3
Western NSW,2014-2016,13.0
Western NSW,2015-2017,15.2
Western NSW,2016-2018,10.5
Western NSW,2017-2019,14.3
Far West,2002-2004,18.3
Far West,2003-2005,16.7
Far West,2004-2006,11.0
Far West,2005-2007,13.2
Far West,2006-2008,10.2
Far West,2007-2009,12.2
Far West,2008-2010,9.4
Far West,2009-2011,14.5
Far West,2010-2012,17.1
Far West,2011-2013,21.8
Far West,2012-2014,16.3
Far West,2013-2015,15.1
Far West,2014-2016,14.1
Far West,2015-2017,14.8
Far West,2016-2018,12.5
Far West,2017-2019,11.7
